2016-A-0214,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.5(3)S3,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0214,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.6(1)S2,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0214,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.6(2)S1,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0214,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.6(2)T1,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0215,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.5(3)S3,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0215,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.6(1)S2,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0215,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.6(2)S1,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-A-0215,CAT I,CVE-2016-1478,Cisco Security Advisory,CISCO IOS 15.6(2)T1,Cisco IOS and IOS XE Software Crafted Network Time Protocol Packets Denial of Service Vulnerability
2016-B-0093,CAT I,CVE-2016-1380,Cisco Security Advisory,CISCO WEB SECURITY APPLIANCE (WSA) 8.0.0-000,Cisco Web Security Appliance HTTP POST Denial of Service Vulnerability
2016-B-0093,CAT I,CVE-2016-1380,Cisco Security Advisory,CISCO WEB SECURITY APPLIANCE (WSA) 8.0.5,Cisco Web Security Appliance HTTP POST Denial of Service Vulnerability
2016-B-0093,CAT I,CVE-2016-1380,Cisco Security Advisory,CISCO WEB SECURITY APPLIANCE (WSA) 8.0.5 HOT PATCH 1,Cisco Web Security Appliance HTTP POST Denial of Service Vulnerability
2016-B-0093,CAT I,CVE-2016-1380,Cisco Security Advisory,CISCO WEB SECURITY APPLIANCE (WSA) 8.0.6,Cisco Web Security Appliance HTTP POST Denial of Service Vulnerability
2016-B-0093,CAT I,CVE-2016-1380,Cisco Security Advisory,CISCO WEB SECURITY APPLIANCE (WSA) 8.0.7,Cisco Web Security Appliance HTTP POST Denial of Service Vulnerability
2016-B-0093,CAT I,CVE-2016-1380,Cisco Security Advisory,CISCO WEB SECURITY APPLIANCE (WSA) 8.0.6-078,Cisco Web Security Appliance HTTP POST Denial of Service Vulnerability
